,city,date,fare,ride_id,driver_count,type
415,New Jacobville,2019-02-09,37.51,5692070000000.0,50,Urban
416,New Kimberlyborough,2019-03-10,10.83,1558580000000.0,33,Urban
417,New Kimberlyborough,2019-01-08,13.34,626984000000.0,33,Urban
418,Karenberg,2019-03-05,44.1,9226780000000.0,22,Urban
419,South Phillip,2019-04-11,21.06,4832100000000.0,38,Urban
420,Loganberg,2019-01-20,38.66,7239150000000.0,23,Urban
421,Carriemouth,2019-05-01,10.97,8792110000000.0,52,Urban
422,West Patrickchester,2019-01-21,19.44,2088370000000.0,25,Urban
423,Martinezhaven,2019-02-07,4.31,9333330000000.0,25,Urban
424,Karenside,2019-01-08,22.64,2411620000000.0,5,Urban
425,North Jason,2019-03-24,32.72,7960290000000.0,6,Urban
426,Lake Danielberg,2019-03-28,28.53,9808250000000.0,19,Urban
427,Pattyland,2019-04-03,14.06,5399010000000.0,59,Urban
428,Pattyland,2019-02-21,7.06,5808460000000.0,59,Urban
429,Loganberg,2019-01-11,44.34,1376540000000.0,23,Urban
430,Leahton,2019-02-28,9.08,8197500000000.0,17,Urban
431,Reynoldsfurt,2019-01-17,24.84,5000180000000.0,67,Urban
432,Raymondhaven,2019-02-22,7.64,7311720000000.0,11,Urban
433,South Latoya,2019-02-12,5.54,839760000000.0,10,Urban
434,Lake Scottton,2019-01-18,31.92,5706290000000.0,58,Urban
435,Port David,2019-02-24,35.63,3354530000000.0,7,Urban
436,Roberthaven,2019-04-05,31.09,1016220000000.0,47,Urban
437,Rogerston,2019-03-24,39.6,9196190000000.0,25,Urban
438,Karenberg,2019-04-27,44.73,3800720000000.0,22,Urban
439,Martinezhaven,2019-04-14,32.57,971302000000.0,25,Urban
440,South Evanton,2019-01-20,25.94,3431710000000.0,11,Urban
441,North Jasmine,2019-04-26,35.33,6857330000000.0,33,Urban
442,Hurleymouth,2019-01-12,10.64,8125600000000.0,36,Urban
443,West Robert,2019-03-07,12.22,2705600000000.0,39,Urban
444,Deanville,2019-04-21,33.37,7763080000000.0,49,Urban
445,South Michelleport,2019-01-09,10.68,3236910000000.0,72,Urban
446,Royland,2019-02-02,42.52,7835420000000.0,64,Urban
447,Rodneyfort,2019-04-10,25.4,9060370000000.0,34,Urban
448,North Madeline,2019-01-12,20.82,8114790000000.0,19,Urban
449,Lake Danielberg,2019-04-28,39.82,7889100000000.0,19,Urban
450,Port Johnbury,2019-05-02,42.42,3245380000000.0,3,Urban
451,Richardfort,2019-04-21,9.54,3698150000000.0,38,Urban
452,Liumouth,2019-03-22,33.1,3678560000000.0,69,Urban
453,Roberthaven,2019-01-21,23.14,4939140000000.0,47,Urban
454,Amandaburgh,2019-01-21,9.26,5528430000000.0,12,Urban
455,South Evanton,2019-04-25,26.84,1539240000000.0,11,Urban
456,Port Samanthamouth,2019-03-25,34.94,821747000000.0,57,Urban
457,South Michelleport,2019-03-13,10.44,5684860000000.0,72,Urban
458,North Madeline,2019-01-14,31.88,8713000000000.0,19,Urban
459,Hurleymouth,2019-03-17,29.95,5225180000000.0,36,Urban
460,Port David,2019-04-10,26.68,5361390000000.0,7,Urban
461,Pattyland,2019-02-10,24.39,7264850000000.0,59,Urban
462,Liumouth,2019-03-17,19.05,9118270000000.0,69,Urban
463,Robertport,2019-04-03,15.14,6669720000000.0,12,Urban
464,Hurleymouth,2019-04-01,9.94,4063430000000.0,36,Urban
465,West Samuelburgh,2019-04-17,15.03,4021530000000.0,73,Urban
466,South Phillip,2019-03-18,17.57,8431000000000.0,38,Urban
467,West Josephberg,2019-01-29,7.58,6142970000000.0,45,Urban
468,Roberthaven,2019-02-16,14.95,6653680000000.0,47,Urban
469,West Christopherberg,2019-03-27,21.55,2201810000000.0,32,Urban
470,Christopherfurt,2019-03-30,31.3,7457130000000.0,41,Urban
471,Hurleymouth,2019-02-01,22.39,6071730000000.0,36,Urban
472,Port Frank,2019-03-16,30.24,1454210000000.0,23,Urban
473,Lake Danielberg,2019-01-16,20.07,8448610000000.0,19,Urban
474,West Ericstad,2019-03-28,22.28,3135270000000.0,25,Urban
475,Karenside,2019-03-11,44.29,3269160000000.0,5,Urban
476,South Evanton,2019-03-17,36.31,2783520000000.0,11,Urban
477,West Heidi,2019-05-05,37.75,3646770000000.0,28,Urban
478,Robertport,2019-02-28,13.39,681044000000.0,12,Urban
479,South Jack,2019-01-05,13.14,6809750000000.0,46,Urban
480,West Josephberg,2019-02-28,11.1,3529530000000.0,45,Urban
481,Port Frank,2019-03-26,28.83,889805000000.0,23,Urban
482,Barajasview,2019-02-19,26.83,937248000000.0,26,Urban
483,Justinberg,2019-01-03,5.81,9261160000000.0,39,Urban
484,North Barbara,2019-04-17,39.18,3503290000000.0,18,Urban
485,West Angela,2019-03-08,4.92,5445150000000.0,48,Urban
486,South Latoya,2019-03-19,30.03,9560330000000.0,10,Urban
487,Hurleymouth,2019-01-18,4.66,8622880000000.0,36,Urban
488,Johnton,2019-04-05,22.87,1030620000000.0,27,Urban
489,Carriemouth,2019-03-27,38.69,4407120000000.0,52,Urban
490,Reynoldsfurt,2019-04-19,13.63,7990080000000.0,67,Urban
491,Christopherfurt,2019-03-16,19.61,2290370000000.0,41,Urban
492,Liumouth,2019-04-28,5.42,8026920000000.0,69,Urban
493,New Kimberlyborough,2019-03-19,15.78,6414960000000.0,33,Urban
494,Martinezhaven,2019-03-07,23.55,7385330000000.0,25,Urban
495,East Kaylahaven,2019-04-06,35.79,8930600000000.0,65,Urban
496,Simpsonburgh,2019-04-26,33.71,2597480000000.0,21,Urban
497,Lake Jonathanshire,2019-01-28,5.67,9756570000000.0,5,Urban
498,Robertport,2019-04-19,39.57,3970340000000.0,12,Urban
499,South Karenland,2019-03-20,33.24,3097270000000.0,4,Urban
500,Raymondhaven,2019-03-07,17.66,9257560000000.0,11,Urban
501,Port David,2019-02-18,20.16,1847430000000.0,7,Urban
502,Royland,2019-02-20,38.28,3616650000000.0,64,Urban
503,East Kaylahaven,2019-01-29,41.62,7157220000000.0,65,Urban
504,Valentineton,2019-02-23,19.99,9658410000000.0,45,Urban
505,Martinezhaven,2019-03-12,21.18,4046810000000.0,25,Urban
506,South Phillip,2019-02-19,28.62,4408030000000.0,38,Urban
507,Royland,2019-05-04,15.14,4988290000000.0,64,Urban
508,West Heidi,2019-02-05,24.32,426277000000.0,28,Urban
509,East Kaylahaven,2019-02-28,33.72,1224920000000.0,65,Urban
510,New Kimberlyborough,2019-04-03,14.73,9083110000000.0,33,Urban
511,South Karenland,2019-01-10,37.58,7165970000000.0,4,Urban
512,Richardfort,2019-02-03,29.04,4982670000000.0,38,Urban
513,Justinberg,2019-03-10,22.43,5552740000000.0,39,Urban
514,Huntermouth,2019-03-21,32.42,3393250000000.0,37,Urban
515,Roberthaven,2019-03-22,34.69,1772990000000.0,47,Urban
516,West Heidi,2019-03-11,43.45,4654880000000.0,28,Urban
517,Raymondhaven,2019-02-17,39.7,3251740000000.0,11,Urban
518,Karenside,2019-04-16,39.32,3155940000000.0,5,Urban
519,Rogerston,2019-03-16,43.82,4718960000000.0,25,Urban
520,Port Johnbury,2019-04-28,36.42,273966000000.0,3,Urban
521,West Josephberg,2019-01-18,43.85,9654660000000.0,45,Urban
522,North Jasmine,2019-02-05,19.21,6785090000000.0,33,Urban
523,Loganberg,2019-04-10,35.97,8828010000000.0,23,Urban
524,Barajasview,2019-04-15,17.76,8098250000000.0,26,Urban
525,New Paulton,2019-04-17,44.43,338361000000.0,44,Urban
526,West Angela,2019-01-19,40.4,740626000000.0,48,Urban
527,North Jasmine,2019-02-18,31.49,9759080000000.0,33,Urban
528,North Barbara,2019-02-11,43.26,8973500000000.0,18,Urban
529,Rogerston,2019-03-02,25.14,1722620000000.0,25,Urban
530,Williamsstad,2019-02-21,4.9,7176450000000.0,59,Urban
531,South Jack,2019-01-14,40.65,5440570000000.0,46,Urban
532,West Anthony,2019-04-15,43.82,4381500000000.0,70,Urban
533,Royland,2019-02-12,44.33,5324590000000.0,64,Urban
534,West Angela,2019-04-03,23.52,4843050000000.0,48,Urban
535,Liumouth,2019-02-22,6.39,8116530000000.0,69,Urban
536,Amandaburgh,2019-04-19,6.27,4400630000000.0,12,Urban
537,West Ericstad,2019-01-23,10.12,8035850000000.0,25,Urban
538,South Jack,2019-01-15,5.58,1793900000000.0,46,Urban
539,Barajasview,2019-05-02,17.12,4628920000000.0,26,Urban
540,Amandaburgh,2019-03-20,27.45,3701010000000.0,12,Urban
541,East Kaylahaven,2019-03-17,8.62,1953430000000.0,65,Urban
542,Port Samanthamouth,2019-01-27,28.46,882650000000.0,57,Urban
543,New Paulville,2019-01-25,15.04,7529440000000.0,44,Urban
544,West Anthony,2019-04-03,10.56,3762870000000.0,70,Urban
545,Raymondhaven,2019-01-06,21.19,9473620000000.0,11,Urban
546,Rogerston,2019-01-03,36.28,7090350000000.0,25,Urban
547,Port David,2019-04-02,41.14,2694440000000.0,7,Urban
548,North Markport,2019-02-08,34.69,2742190000000.0,22,Urban
549,West Angela,2019-03-04,20.72,1784730000000.0,48,Urban
550,South Michelleport,2019-04-21,21.98,5893810000000.0,72,Urban
551,Port Frank,2019-02-10,40.82,6386240000000.0,23,Urban
552,Rogerston,2019-02-14,19.42,8770690000000.0,25,Urban
553,Joneschester,2019-04-02,10.52,4970370000000.0,39,Urban
554,South Karenland,2019-03-17,23.26,556551000000.0,4,Urban
555,West Angela,2019-05-05,23.66,9188270000000.0,48,Urban
556,Royland,2019-02-10,11.24,4949540000000.0,64,Urban
557,Christopherfurt,2019-01-30,6.32,4289780000000.0,41,Urban
558,Barajasview,2019-04-09,39.36,1801610000000.0,26,Urban
559,Christopherfurt,2019-02-08,25.76,951781000000.0,41,Urban
560,Leahton,2019-01-13,9.37,4669660000000.0,17,Urban
561,Port Angela,2019-04-15,20.16,6490090000000.0,67,Urban
562,Loganberg,2019-01-13,41.86,7045610000000.0,23,Urban
563,West Heidi,2019-02-24,40.8,4274250000000.0,28,Urban
564,Robertport,2019-02-24,8.48,2892770000000.0,12,Urban
565,Karenside,2019-03-14,16.31,8818350000000.0,5,Urban
566,West Christopherberg,2019-03-20,42.83,6898410000000.0,32,Urban
567,West Gabriel,2019-01-15,13.38,7560920000000.0,57,Urban
568,Simpsonburgh,2019-04-01,25.65,2869640000000.0,21,Urban
569,West Robert,2019-05-04,5.36,9799480000000.0,39,Urban
570,Loganberg,2019-02-17,44.47,3541070000000.0,23,Urban
571,West Anthony,2019-04-20,11.85,4274670000000.0,70,Urban
572,Jerryton,2019-05-01,4.97,8096400000000.0,64,Urban
573,North Jasmine,2019-03-04,42.58,8864580000000.0,33,Urban
574,North Madeline,2019-01-26,5.59,3676440000000.0,19,Urban
575,Royland,2019-03-25,7.09,5660300000000.0,64,Urban
576,New Paulton,2019-01-21,18.3,3721170000000.0,44,Urban
577,Richardfort,2019-02-08,16.55,2270460000000.0,38,Urban
578,Barajasview,2019-02-03,39.39,9438000000000.0,26,Urban
579,Pattyland,2019-04-18,28.66,2342400000000.0,59,Urban
580,West Christopherberg,2019-02-17,4.4,4353110000000.0,32,Urban
581,Grahamburgh,2019-02-25,14.51,6157110000000.0,61,Urban
582,New Kimberlyborough,2019-04-11,12.01,135529000000.0,33,Urban
583,North Madeline,2019-05-02,11.94,7526660000000.0,19,Urban
584,Simpsonburgh,2019-04-12,22.45,7811390000000.0,21,Urban
585,Martinezhaven,2019-02-16,15.33,9810610000000.0,25,Urban
586,West Heidi,2019-03-30,11.15,2264870000000.0,28,Urban
587,Christopherfurt,2019-04-12,22.91,5928120000000.0,41,Urban
588,Karenside,2019-04-28,39.41,4711190000000.0,5,Urban
589,Rogerston,2019-04-01,28.54,9963100000000.0,25,Urban
590,West Samuelburgh,2019-02-19,17.77,7608980000000.0,73,Urban
591,Joneschester,2019-03-17,15.35,2307170000000.0,39,Urban
592,West Heidi,2019-02-27,35.19,6998270000000.0,28,Urban
593,West Heidi,2019-03-02,23.55,6478070000000.0,28,Urban
594,Roberthaven,2019-03-30,16.2,2949490000000.0,47,Urban
595,Karenberg,2019-04-07,16.11,4806090000000.0,22,Urban
596,Port Angela,2019-03-08,23.06,2750740000000.0,67,Urban
597,Hurleymouth,2019-02-07,36.7,174818000000.0,36,Urban
598,Simpsonburgh,2019-03-31,24.16,9709760000000.0,21,Urban
599,South Jack,2019-03-14,18.66,3511600000000.0,46,Urban
600,New Jacobville,2019-03-10,10.63,650454000000.0,50,Urban
601,Williamsstad,2019-04-16,32.43,7177820000000.0,59,Urban
602,Port Johnbury,2019-03-27,38.99,4115680000000.0,3,Urban
603,North Jasmine,2019-02-17,35.11,6620980000000.0,33,Urban
604,South Jack,2019-01-03,4.95,9005600000000.0,46,Urban
605,Pattyland,2019-04-23,13.01,9345290000000.0,59,Urban
606,Raymondhaven,2019-02-16,24.31,8960620000000.0,11,Urban
607,Joneschester,2019-04-24,9.78,967059000000.0,39,Urban
608,North Jason,2019-02-19,15.87,7791830000000.0,6,Urban
609,Williamsstad,2019-02-22,20.56,5813760000000.0,59,Urban
610,West Christopherberg,2019-02-19,40.98,752484000000.0,32,Urban
611,South Karenland,2019-03-19,23.07,5759340000000.0,4,Urban
612,Rodneyfort,2019-03-07,7.78,2859630000000.0,34,Urban
613,Lake Scottton,2019-02-05,24.54,3770260000000.0,58,Urban
614,Royland,2019-01-26,14.68,1747290000000.0,64,Urban
615,Martinezhaven,2019-01-21,42.75,9056090000000.0,25,Urban
616,West Patrickchester,2019-03-17,17.38,3066490000000.0,25,Urban
617,Raymondhaven,2019-03-31,36.29,8959240000000.0,11,Urban
618,West Robert,2019-03-06,22.86,2318920000000.0,39,Urban
619,South Evanton,2019-02-25,15.06,8873330000000.0,11,Urban
620,West Christopherberg,2019-03-07,32.27,2176000000000.0,32,Urban
621,West Josephberg,2019-04-19,42.53,6114370000000.0,45,Urban
622,Liumouth,2019-03-06,23.53,2430170000000.0,69,Urban
623,West Christopherberg,2019-02-10,8.42,836259000000.0,32,Urban
624,Hurleymouth,2019-02-23,18.15,6051430000000.0,36,Urban
625,Port Angela,2019-02-26,28.52,6783570000000.0,67,Urban
626,West Samuelburgh,2019-01-31,14.11,6038400000000.0,73,Urban
627,North Barbara,2019-04-06,26.64,929433000000.0,18,Urban
628,Rodneyfort,2019-04-29,44.28,6979260000000.0,34,Urban
629,North Jason,2019-04-05,31.89,9988470000000.0,6,Urban
630,Port David,2019-02-11,10.05,6921950000000.0,7,Urban
631,Raymondhaven,2019-01-27,41.76,7325940000000.0,11,Urban
632,Barajasview,2019-03-12,37.05,1829230000000.0,26,Urban
633,Liumouth,2019-01-17,33.29,3424320000000.0,69,Urban
634,North Barbara,2019-03-24,4.05,5344060000000.0,18,Urban
635,Valentineton,2019-04-03,18.62,555060000000.0,45,Urban
636,West Samuelburgh,2019-04-17,10.58,2071900000000.0,73,Urban
637,Carriemouth,2019-01-15,24.13,7417680000000.0,52,Urban
638,Carriemouth,2019-05-08,21.99,117998000000.0,52,Urban
639,Erikaland,2019-02-21,12.44,2705090000000.0,37,Urban
640,Grahamburgh,2019-01-18,23.35,8084540000000.0,61,Urban
641,East Kaylahaven,2019-01-29,9.81,2058420000000.0,65,Urban
642,Carriemouth,2019-02-04,24.87,6015600000000.0,52,Urban
643,Justinberg,2019-04-14,24.34,1492820000000.0,39,Urban
644,Pattyland,2019-01-01,42.11,9614950000000.0,59,Urban
645,Royland,2019-04-09,22.89,5157860000000.0,64,Urban
646,Huntermouth,2019-03-14,30.49,9537560000000.0,37,Urban
647,Huntermouth,2019-01-17,41.48,7802300000000.0,37,Urban
648,Huntermouth,2019-02-03,31.43,4782860000000.0,37,Urban
649,South Evanton,2019-02-21,34.21,5093960000000.0,11,Urban
650,West Robert,2019-04-12,32.48,7544370000000.0,39,Urban
651,Raymondhaven,2019-03-02,5.19,4175050000000.0,11,Urban
652,Port Frank,2019-04-02,13.55,4849710000000.0,23,Urban
653,West Heidi,2019-03-18,4.29,4315020000000.0,28,Urban
654,Amandaburgh,2019-04-01,24.29,1995460000000.0,12,Urban
655,Liumouth,2019-02-27,43.31,1510930000000.0,69,Urban
656,Barajasview,2019-03-15,28.3,1314270000000.0,26,Urban
657,New Kimberlyborough,2019-03-19,27.37,533038000000.0,33,Urban
658,West Samuelburgh,2019-01-06,43.05,9810770000000.0,73,Urban
659,Lake Scottton,2019-01-28,23.95,9483400000000.0,58,Urban
660,North Jason,2019-01-14,26.58,8642390000000.0,6,Urban
661,East Kaylahaven,2019-03-23,4.64,1908040000000.0,65,Urban
662,Johnton,2019-03-15,43.5,7134200000000.0,27,Urban
663,Roberthaven,2019-02-22,27.48,9420000000000.0,47,Urban
664,Robertport,2019-01-25,44.75,6711340000000.0,12,Urban
665,Joneschester,2019-02-16,9.48,4155290000000.0,39,Urban
666,Johnton,2019-05-02,32.38,8954820000000.0,27,Urban
667,West Anthony,2019-02-19,27.9,4267520000000.0,70,Urban
668,Martinezhaven,2019-03-11,7.01,7636750000000.0,25,Urban
669,Port Johnbury,2019-03-30,15.17,4900590000000.0,3,Urban
670,Williamsview,2019-04-07,19.19,8047770000000.0,46,Urban
671,West Robert,2019-02-23,33.24,3055030000000.0,39,Urban
672,Barajasview,2019-03-19,26.6,5623060000000.0,26,Urban
673,Williamsstad,2019-05-06,40.79,8720870000000.0,59,Urban
674,Justinberg,2019-01-22,38.3,1287830000000.0,39,Urban
675,Justinberg,2019-04-16,16.58,1476440000000.0,39,Urban
676,Carriemouth,2019-02-17,22.66,3717940000000.0,52,Urban
677,South Evanton,2019-04-10,30.36,5254900000000.0,11,Urban
678,Simpsonburgh,2019-02-14,30.0,7644620000000.0,21,Urban
679,New Kimberlyborough,2019-01-07,15.22,7020070000000.0,33,Urban
680,Richardfort,2019-04-03,40.77,9496210000000.0,38,Urban
681,Williamsview,2019-01-05,21.59,6180220000000.0,46,Urban
682,Carriemouth,2019-01-04,31.99,4872540000000.0,52,Urban
683,West Christopherberg,2019-04-06,25.31,3275950000000.0,32,Urban
684,New Jacobville,2019-04-10,42.92,4021020000000.0,50,Urban
685,Karenberg,2019-04-23,26.92,9685100000000.0,22,Urban
686,Johnton,2019-02-28,12.02,6670300000000.0,27,Urban
687,Amandaburgh,2019-04-20,16.27,3513120000000.0,12,Urban
688,Port Frank,2019-04-25,19.43,7792160000000.0,23,Urban
689,Martinezhaven,2019-02-03,11.61,3416650000000.0,25,Urban
690,Joneschester,2019-03-09,39.32,1553160000000.0,39,Urban
691,West Robert,2019-04-07,40.69,502551000000.0,39,Urban
692,West Heidi,2019-02-06,40.55,6257940000000.0,28,Urban
693,Lake Jonathanshire,2019-01-24,34.65,3319120000000.0,5,Urban
694,Johnton,2019-01-22,24.17,7413360000000.0,27,Urban
695,South Karenland,2019-01-31,36.28,9219990000000.0,4,Urban
696,Liumouth,2019-01-05,27.02,3773620000000.0,69,Urban
697,Port Angela,2019-02-08,15.58,7388730000000.0,67,Urban
698,Johnton,2019-02-26,18.76,6360820000000.0,27,Urban
699,Pattyland,2019-02-05,28.81,115407000000.0,59,Urban
700,Deanville,2019-04-26,28.44,3326160000000.0,49,Urban
701,West Anthony,2019-03-03,20.71,7550330000000.0,70,Urban
702,South Phillip,2019-02-28,42.2,9813560000000.0,38,Urban
703,North Jason,2019-01-05,16.22,3842420000000.0,6,Urban
704,Loganberg,2019-01-31,13.69,4066010000000.0,23,Urban
705,Port Frank,2019-01-27,38.97,5944400000000.0,23,Urban
706,South Evanton,2019-03-06,44.41,2760300000000.0,11,Urban
707,West Angela,2019-01-22,32.18,4244820000000.0,48,Urban
708,Rodneyfort,2019-04-12,27.81,5669400000000.0,34,Urban
709,Carriemouth,2019-04-28,37.35,4812350000000.0,52,Urban
710,Hurleymouth,2019-02-28,44.85,5104280000000.0,36,Urban
711,Lake Danielberg,2019-03-20,33.9,25082058503.0,19,Urban
712,Lake Jonathanshire,2019-03-24,14.94,1670910000000.0,5,Urban
713,Williamsview,2019-05-04,32.8,2677730000000.0,46,Urban
714,West Josephberg,2019-02-19,4.07,1348030000000.0,45,Urban
715,Christopherfurt,2019-04-06,27.46,7399940000000.0,41,Urban
716,South Phillip,2019-02-01,39.27,5307990000000.0,38,Urban
717,New Paulville,2019-02-18,38.97,1733920000000.0,44,Urban
718,Grahamburgh,2019-03-24,32.17,2400240000000.0,61,Urban
719,Port Johnbury,2019-02-08,7.63,3497570000000.0,3,Urban
720,Port David,2019-03-04,23.7,6492200000000.0,7,Urban
721,West Ericstad,2019-04-13,22.39,5770760000000.0,25,Urban
722,Karenside,2019-05-03,32.68,9194160000000.0,5,Urban
723,Valentineton,2019-02-25,10.21,4595890000000.0,45,Urban
724,Martinezhaven,2019-03-21,39.26,9867640000000.0,25,Urban
725,Huntermouth,2019-03-21,27.96,3030920000000.0,37,Urban
726,Rogerston,2019-03-18,8.58,4178980000000.0,25,Urban
727,West Angela,2019-03-07,14.8,5022470000000.0,48,Urban
728,Rodneyfort,2019-03-15,30.83,4175050000000.0,34,Urban
729,North Jasmine,2019-04-24,28.24,8273890000000.0,33,Urban
730,Raymondhaven,2019-01-25,14.65,3912460000000.0,11,Urban
731,Richardfort,2019-02-19,27.11,8690320000000.0,38,Urban
732,West Josephberg,2019-03-16,10.04,6775770000000.0,45,Urban
733,Erikaland,2019-05-07,22.72,5590430000000.0,37,Urban
734,Royland,2019-01-15,4.1,9409230000000.0,64,Urban
735,Roberthaven,2019-03-27,11.51,9185060000000.0,47,Urban
736,Justinberg,2019-04-16,27.1,1854550000000.0,39,Urban
737,East Kaylahaven,2019-01-04,24.37,5735200000000.0,65,Urban
738,North Jason,2019-02-22,18.67,190295000000.0,6,Urban
739,Karenside,2019-02-12,25.58,6569020000000.0,5,Urban
740,Raymondhaven,2019-02-28,11.26,3122710000000.0,11,Urban
741,Amandaburgh,2019-03-13,13.88,6222130000000.0,12,Urban
742,Amandaburgh,2019-04-22,42.52,1901160000000.0,12,Urban
743,New Jacobville,2019-04-27,37.6,8780900000000.0,50,Urban
744,West Ericstad,2019-04-19,5.75,3497130000000.0,25,Urban
745,Christopherfurt,2019-01-04,15.47,1471160000000.0,41,Urban
746,Port David,2019-03-27,18.43,4635590000000.0,7,Urban
747,Martinezhaven,2019-02-15,15.93,9624580000000.0,25,Urban
748,West Robert,2019-02-27,22.81,5714310000000.0,39,Urban
749,South Michelleport,2019-03-08,27.42,3754240000000.0,72,Urban
750,Robertport,2019-05-03,31.62,4852260000000.0,12,Urban
751,West Anthony,2019-02-04,20.09,4221520000000.0,70,Urban
752,West Angela,2019-03-20,23.83,8750810000000.0,48,Urban
753,South Michelleport,2019-05-07,4.47,289109000000.0,72,Urban
754,New Paulville,2019-05-01,10.3,1057570000000.0,44,Urban
755,Justinberg,2019-02-19,36.27,7286440000000.0,39,Urban
756,Leahton,2019-01-08,39.81,457902000000.0,17,Urban
757,Justinberg,2019-02-01,31.07,2739650000000.0,39,Urban
758,South Latoya,2019-02-12,28.92,5779830000000.0,10,Urban
759,Williamsview,2019-02-08,25.3,2324600000000.0,46,Urban
760,Joneschester,2019-01-15,13.43,2235860000000.0,39,Urban
761,Williamsstad,2019-01-06,43.5,2047850000000.0,59,Urban
762,South Karenland,2019-01-25,31.02,500482000000.0,4,Urban
763,Carriemouth,2019-04-01,27.84,6589830000000.0,52,Urban
764,Valentineton,2019-01-01,12.31,4757040000000.0,45,Urban
765,Christopherfurt,2019-03-12,35.57,8286130000000.0,41,Urban
766,Huntermouth,2019-02-05,28.58,314352000000.0,37,Urban
767,Deanville,2019-02-17,25.33,2749470000000.0,49,Urban
768,North Barbara,2019-05-05,26.54,4328280000000.0,18,Urban
769,West Angela,2019-01-25,41.05,4602410000000.0,48,Urban
770,Martinezhaven,2019-04-15,35.45,4822610000000.0,25,Urban
771,West Anthony,2019-01-12,37.66,410252000000.0,70,Urban
772,West Samuelburgh,2019-04-25,26.44,4338650000000.0,73,Urban
773,West Josephberg,2019-04-29,28.73,1732530000000.0,45,Urban
774,Liumouth,2019-04-11,15.55,6828490000000.0,69,Urban
775,Karenside,2019-04-04,42.27,6771500000000.0,5,Urban
776,Loganberg,2019-04-04,25.93,186096000000.0,23,Urban
777,Johnton,2019-01-21,28.59,5597540000000.0,27,Urban
778,Carriemouth,2019-03-08,34.32,7984920000000.0,52,Urban
779,South Latoya,2019-01-02,43.72,390122000000.0,10,Urban
780,South Phillip,2019-03-25,7.04,7931640000000.0,38,Urban
781,Lake Danielberg,2019-03-21,14.12,8573680000000.0,19,Urban
782,Jerryton,2019-01-27,5.21,2366540000000.0,64,Urban
783,Simpsonburgh,2019-04-28,10.07,2994800000000.0,21,Urban
784,Amandaburgh,2019-02-06,11.93,7550330000000.0,12,Urban
785,Karenberg,2019-02-14,11.06,4344960000000.0,22,Urban
786,Jerryton,2019-01-16,22.26,974453000000.0,64,Urban
787,East Kaylahaven,2019-03-27,25.29,4840740000000.0,65,Urban
788,Pattyland,2019-02-11,33.21,1325880000000.0,59,Urban
789,South Michelleport,2019-02-06,25.58,6814780000000.0,72,Urban
790,Martinezhaven,2019-02-23,15.48,5946820000000.0,25,Urban
791,Loganberg,2019-01-05,5.92,5327700000000.0,23,Urban
792,New Paulville,2019-04-13,8.69,592220000000.0,44,Urban
793,South Evanton,2019-01-10,37.03,4817990000000.0,11,Urban
794,Port Angela,2019-02-06,24.47,1469820000000.0,67,Urban
795,West Gabriel,2019-04-21,4.96,2694140000000.0,57,Urban
796,New Kimberlyborough,2019-03-28,10.91,935422000000.0,33,Urban
797,West Anthony,2019-04-16,17.47,5706560000000.0,70,Urban
798,West Gabriel,2019-01-16,25.97,6590480000000.0,57,Urban
799,Karenside,2019-01-24,9.39,4829060000000.0,5,Urban
800,Liumouth,2019-01-01,37.91,5673670000000.0,69,Urban
801,Grahamburgh,2019-04-20,40.06,5161830000000.0,61,Urban
802,Christopherfurt,2019-05-07,6.39,7608010000000.0,41,Urban
803,West Gabriel,2019-05-01,27.45,2827460000000.0,57,Urban
804,West Heidi,2019-01-17,5.78,9107700000000.0,28,Urban
805,West Angela,2019-01-04,20.33,1920340000000.0,48,Urban
806,Christopherfurt,2019-03-25,7.19,6892680000000.0,41,Urban
807,Robertport,2019-03-25,35.29,7875810000000.0,12,Urban
808,Royland,2019-01-16,4.89,8053340000000.0,64,Urban
809,Huntermouth,2019-03-19,15.05,1677080000000.0,37,Urban
810,North Madeline,2019-04-07,11.92,737335000000.0,19,Urban
811,East Kaylahaven,2019-01-07,5.56,4657640000000.0,65,Urban
812,Loganberg,2019-04-18,22.51,3208040000000.0,23,Urban
813,North Jason,2019-01-23,6.54,5614760000000.0,6,Urban
814,South Latoya,2019-01-31,14.82,6963440000000.0,10,Urban
815,Karenberg,2019-03-09,35.68,8631750000000.0,22,Urban
816,West Anthony,2019-05-01,23.76,2929350000000.0,70,Urban
817,Williamsstad,2019-03-25,42.93,2210000000000.0,59,Urban
818,Port Angela,2019-02-06,11.39,6108670000000.0,67,Urban
819,Karenside,2019-02-24,27.64,8058210000000.0,5,Urban
820,East Kaylahaven,2019-03-21,9.42,1468260000000.0,65,Urban
821,South Michelleport,2019-03-23,14.72,490532000000.0,72,Urban
822,Pattyland,2019-01-14,40.21,5825970000000.0,59,Urban
823,Port Samanthamouth,2019-02-28,38.42,2105090000000.0,57,Urban
824,Reynoldsfurt,2019-04-11,42.97,1390650000000.0,67,Urban
825,Pattyland,2019-03-27,8.57,3074550000000.0,59,Urban
826,North Jasmine,2019-04-24,14.11,4194710000000.0,33,Urban
827,North Madeline,2019-03-31,21.24,654160000000.0,19,Urban
828,West Anthony,2019-02-11,15.55,5988410000000.0,70,Urban
829,Lake Danielberg,2019-01-28,25.98,1418320000000.0,19,Urban
830,Royland,2019-02-19,13.02,186047000000.0,64,Urban
